"user_input_text","sttTime","sentence","gptTimePerSentence","ttsTimePerSentence","avatarPerSentence","avatarPer1SecMean"
"안녕하세요. 저는 교수입니다. 마음이 힘들어서 찾아왔어요.",0.91,"안녕하세요,",2.682,1.807,6.943,6.918517589569092
"안녕하세요. 저는 교수입니다. 마음이 힘들어서 찾아왔어요.",0.91,"교수님.",0.001,1.22,1.494,1.4733641147613525
"안녕하세요. 저는 교수입니다. 마음이 힘들어서 찾아왔어요.",0.91,"마음이 힘들다고 하셨네요.",0.001,1.219,2.222,1.0998506546020508
"안녕하세요. 저는 교수입니다. 마음이 힘들어서 찾아왔어요.",0.91,"어떤 이유로 오셨는지 말씀해 주실 수 있나요?",0.001,1.564,3.756,0.9307101964950562

"그거는 연구실 학생들이 말을 안 들어",2.166,"그렇군요.",3.088,1.707,1.5,1.481687307357788
"그거는 연구실 학생들이 말을 안 들어",2.166,"이건 교수님만의 문제가 아니에요.",0,1.756,2.26,1.1151703596115112
"그거는 연구실 학생들이 말을 안 들어",2.166,"다른 사람들도 비슷한 문제들을 다 겪고 있으니 너무 걱정하지 마세요.",0.001,2.57,5.039,0.8358161846796671
"그거는 연구실 학생들이 말을 안 들어",2.166,"학생들이 말을 안 들어서 힘드신 상황을 좀 더 자세히 말씀해 주실 수 있을까요?",0.001,2.415,4.773,0.790258010228475
"안녕하세요 나는 OO입니다 학생들이 말을 안들어요",0.789,"안녕하세요,",2.143,1.109,1.493,1.4742014408111572
"안녕하세요 나는 OO입니다 학생들이 말을 안들어요",0.789,"OO님.",0.001,1.403,1.435,1.415940761566162
"안녕하세요 나는 OO입니다 학생들이 말을 안들어요",0.789,"만나서 반갑습니다.",0,1.536,2.283,1.1300557851791382
"안녕하세요 나는 OO입니다 학생들이 말을 안들어요",0.789,"어떤 이유로 오셨나요?",0,1.432,2.187,1.0828824043273926
"학생들이 말을 안듣는다고",1.524,"그렇군요.",1.801,1.191,1.551,1.5270085334777832
"학생들이 말을 안듣는다고",1.524,"이건 gyosu님만의 문제가 아니에요.",0,2.194,2.876,0.9508912563323975
"학생들이 말을 안듣는다고",1.524,"다른 사람들도 비슷한 문제들을 다 겪고 있으니 너무 걱정하지 마세요.",0.001,1.718,4.982,0.8253400723139445
"학생들이 말을 안듣는다고",1.524,"학생들이 말을 안 듣는 상황에 대해 조금 더 자세히 말씀해 주실 수 있나요?",0.002,2.509,5.124,0.8490176995595297
"시키는걸 제때 안해와",0.936,"어떤 특정한 상황에서 그런 일이 있었나요?",2.025,1.665,2.961,0.9791216850280762
"시키는걸 제때 안해와",0.936,"예를 들어 주실 수 있을까요?",0,0.888,2.92,0.9633254210154215
"과제를 냈는데 과제 기한에 맞춰서 안해와",2.364,"그런 상황이라면 정말 속상하셨겠어요.",2.558,1.462,3.047,1.0071769555409749
"과제를 냈는데 과제 기한에 맞춰서 안해와",2.364,"학생들이 왜 과제를 제때 하지 않는다고 생각하시나요?",0,2.22,4.388,0.8714377403259277
"학생들이 말을 안들어",0.913,"안녕하세요,",2.621,1.174,1.556,1.5385894775390625
"학생들이 말을 안들어",0.913,"교수님.",0.001,1.777,1.506,1.4866054058074951
"학생들이 말을 안들어",0.913,"만나서 반갑습니다.",0.001,1.906,2.224,1.10286545753479
"학생들이 말을 안들어",0.913,"어떤 이유로 오셨는지 말씀해 주실 수 있나요?",0,2.91,3.745,0.9303696155548096
"어떤 이유로 아끼는 내가 얘기했잖아 왜 못 알아들어",1.041,"그렇군요.",2.358,3.17,1.511,1.492131233215332
"어떤 이유로 아끼는 내가 얘기했잖아 왜 못 알아들어",1.041,"이건 교수님만의 문제가 아니에요.",0.001,1.897,2.985,0.9848442872365316
"어떤 이유로 아끼는 내가 얘기했잖아 왜 못 알아들어",1.041,"다른 사람들도 비슷한 문제들을 다 겪고 있으니 너무 걱정하지 마세요.",0.002,2.274,5.163,0.8553295135498047
"어떤 이유로 아끼는 내가 얘기했잖아 왜 못 알아들어",1.041,"학생들이 말을 안 듣는 상황에 대해 좀 더 자세히 말씀해 주실 수 있을까요?",0.001,2.38,5.178,0.8588801622390747
